,ctryname,democracy
1,Argentina,0
2,Bahamas,1
3,Barbados,1
4,Bolivia,0
5,Brazil,0
6,Chile,0
7,Colombia,1
8,Costa Rica,1
9,Cuba,0
10,Dominica,1
11,Dominican Republic,1
12,Ecuador,1
13,El Salvador,0
14,Grenada,0
15,Guatemala,1
16,Guyana,0
17,Haiti,0
18,Honduras,0
19,Jamaica,1
20,Mexico,0
21,Nicaragua,0
22,Panama,0
23,Paraguay,0
24,Peru,1
25,St. Lucia,1
26,St. Vincent and the Grenadines,1
27,Suriname,0
28,Trinidad and Tobago,1
29,Uruguay,0
30,Venezuela,1
